Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527"
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
18,34800;1,10100;11977,30869;0,09240;0,00233;149,90374;0,23350;0,06711;0,02745;-0,00287
18,44800;1,10679;12031,34537;0,09235;0,00237;150,58004;0,23669;0,06802;0,01732;-0,00181
18,54800;1,11284;12092,45771;0,09247;0,00238;151,34490;0,23823;0,06847;0,00778;-0,00081
18,64800;1,11884;12148,21726;0,09260;0,00241;152,04277;0,24143;0,06939;0,02135;-0,00223
18,74800;1,12462;12205,20079;0,09234;0,00243;152,75595;0,24286;0,06980;0,01207;-0,00126
18,84800;1,13100;12264,40340;0,09241;0,00244;153,49691;0,24350;0,06998;0,02469;-0,00258
18,94800;1,13684;12318,58581;0,09283;0,00247;154,17504;0,24673;0,07091;0,02037;-0,00213
19,04800;1,14289;12380,64945;0,09230;0,00248;154,95181;0,24755;0,07114;0,02572;-0,00269
19,14800;1,14889;12435,45502;0,09261;0,00251;155,63773;0,25119;0,07219;0,01633;-0,00171
19,24800;1,15468;12493,73585;0,09256;0,00252;156,36716;0,25169;0,07233;0,03361;-0,00351
19,34800;1,16089;12551,43374;0,09266;0,00256;157,08928;0,25612;0,07361;0,01769;-0,00185
19,44800;1,16673;12606,38058;0,09298;0,00253;157,77698;0,25307;0,07273;0,02676;-0,00280
19,54800;1,17300;12668,57922;0,09257;0,00260;158,55543;0,26021;0,07478;0,02391;-0,00250
19,64800;1,17879;12722,58371;0,09250;0,00258;159,23134;0,25767;0,07405;0,03833;-0,00401
19,74800;1,18473;12783,59771;0,09242;0,00260;159,99497;0,25961;0,07461;0,02416;-0,00253
19,84800;1,19095;12840,08145;0,09278;0,00264;160,70190;0,26367;0,07578;0,03079;-0,00322
19,94800;1,19668;12895,08820;0,09284;0,00264;161,39034;0,26392;0,07585;0,03048;-0,00319
20,04800;1,20300;12955,48975;0,09203;0,00272;162,14630;0,27212;0,07821;0,01347;-0,00141
20,14800;1,20878;13009,50944;0,09233;0,00275;162,82240;0,27524;0,07910;0,00894;-0,00093
20,24800;1,21478;13071,58560;0,09323;0,00275;163,59932;0,27480;0,07898;-0,00362;0,00038
20,34800;1,22089;13128,92228;0,09200;0,00276;164,31692;0,27635;0,07942;0,01416;-0,00148
20,44800;1,22668;13186,23126;0,09278;0,00281;165,03418;0,28127;0,08084;-0,00796;0,00083
20,54800;1,23295;13245,58496;0,09253;0,00285;165,77703;0,28457;0,08179;0,01534;-0,00160
20,64800;1,23884;13300,96185;0,09286;0,00286;166,47011;0,28572;0,08211;0,00478;-0,00050
20,74800;1,24495;13362,82879;0,09294;0,00288;167,24442;0,28832;0,08286;0,00886;-0,00093
20,84800;1,25084;13418,39433;0,09252;0,00289;167,93985;0,28919;0,08311;0,00937;-0,00098
20,94800;1,25673;13477,86695;0,09279;0,00287;168,68419;0,28714;0,08252;0,00931;-0,00097
21,04800;1,26289;13536,11380;0,09243;0,00293;169,41319;0,29257;0,08408;0,01169;-0,00122
